"country","year","lifeExp","pop","gdpPercap"
"Argentina",1952,62.485,17876956,5911.315053
"Argentina",1957,64.399,19610538,6856.856212
"Argentina",1962,65.142,21283783,7133.166023
"Argentina",1967,65.634,22934225,8052.953021
"Argentina",1972,67.065,24779799,9443.038526
"Argentina",1977,68.481,26983828,10079.02674
"Argentina",1982,69.942,29341374,8997.897412
"Argentina",1987,70.774,31620918,9139.671389
"Argentina",1992,71.868,33958947,9308.41871
"Argentina",1997,73.275,36203463,10967.28195
"Argentina",2002,74.34,38331121,8797.640716
"Argentina",2007,75.32,40301927,12779.37964
"Bolivia",1952,40.414,2883315,2677.326347
"Bolivia",1957,41.89,3211738,2127.686326
"Bolivia",1962,43.428,3593918,2180.972546
"Bolivia",1967,45.032,4040665,2586.886053
"Bolivia",1972,46.714,4565872,2980.331339
"Bolivia",1977,50.023,5079716,3548.097832
"Bolivia",1982,53.859,5642224,3156.510452
"Bolivia",1987,57.251,6156369,2753.69149
"Bolivia",1992,59.957,6893451,2961.699694
"Bolivia",1997,62.05,7693188,3326.143191
"Bolivia",2002,63.883,8445134,3413.26269
"Bolivia",2007,65.554,9119152,3822.137084
"Brazil",1952,50.917,56602560,2108.944355
"Brazil",1957,53.285,65551171,2487.365989
"Brazil",1962,55.665,76039390,3336.585802
"Brazil",1967,57.632,88049823,3429.864357
"Brazil",1972,59.504,100840058,4985.711467
"Brazil",1977,61.489,114313951,6660.118654
"Brazil",1982,63.336,128962939,7030.835878
"Brazil",1987,65.205,142938076,7807.095818
"Brazil",1992,67.057,155975974,6950.283021
"Brazil",1997,69.388,168546719,7957.980824
"Brazil",2002,71.006,179914212,8131.212843
"Brazil",2007,72.39,190010647,9065.800825
"Chile",1952,54.745,6377619,3939.978789
"Chile",1957,56.074,7048426,4315.622723
"Chile",1962,57.924,7961258,4519.094331
"Chile",1967,60.523,8858908,5106.654313
"Chile",1972,63.441,9717524,5494.024437
"Chile",1977,67.052,10599793,4756.763836
"Chile",1982,70.565,11487112,5095.665738
"Chile",1987,72.492,12463354,5547.063754
"Chile",1992,74.126,13572994,7596.125964
"Chile",1997,75.816,14599929,10118.05318
"Chile",2002,77.86,15497046,10778.78385
"Chile",2007,78.553,16284741,13171.63885
